,Play,ActSceneLine,Player
3,Henry IV,1.1.1,KING HENRY IV
4,Henry IV,1.1.2,KING HENRY IV
5,Henry IV,1.1.3,KING HENRY IV
6,Henry IV,1.1.4,KING HENRY IV
7,Henry IV,1.1.5,KING HENRY IV
8,Henry IV,1.1.6,KING HENRY IV
9,Henry IV,1.1.7,KING HENRY IV
10,Henry IV,1.1.8,KING HENRY IV
11,Henry IV,1.1.9,KING HENRY IV
12,Henry IV,1.1.10,KING HENRY IV
13,Henry IV,1.1.11,KING HENRY IV
14,Henry IV,1.1.12,KING HENRY IV
15,Henry IV,1.1.13,KING HENRY IV
16,Henry IV,1.1.14,KING HENRY IV
17,Henry IV,1.1.15,KING HENRY IV
18,Henry IV,1.1.16,KING HENRY IV
19,Henry IV,1.1.17,KING HENRY IV
20,Henry IV,1.1.18,KING HENRY IV
21,Henry IV,1.1.19,KING HENRY IV
22,Henry IV,1.1.20,KING HENRY IV
23,Henry IV,1.1.21,KING HENRY IV
24,Henry IV,1.1.22,KING HENRY IV
25,Henry IV,1.1.23,KING HENRY IV
26,Henry IV,1.1.24,KING HENRY IV
27,Henry IV,1.1.25,KING HENRY IV
28,Henry IV,1.1.26,KING HENRY IV
29,Henry IV,1.1.27,KING HENRY IV
30,Henry IV,1.1.28,KING HENRY IV
31,Henry IV,1.1.29,KING HENRY IV
32,Henry IV,1.1.30,KING HENRY IV
33,Henry IV,1.1.31,KING HENRY IV
34,Henry IV,1.1.32,KING HENRY IV
35,Henry IV,1.1.33,KING HENRY IV
36,Henry IV,1.1.34,WESTMORELAND
37,Henry IV,1.1.35,WESTMORELAND
38,Henry IV,1.1.36,WESTMORELAND
39,Henry IV,1.1.37,WESTMORELAND
40,Henry IV,1.1.38,WESTMORELAND
41,Henry IV,1.1.39,WESTMORELAND
42,Henry IV,1.1.40,WESTMORELAND
43,Henry IV,1.1.41,WESTMORELAND
44,Henry IV,1.1.42,WESTMORELAND
45,Henry IV,1.1.43,WESTMORELAND
46,Henry IV,1.1.44,WESTMORELAND
47,Henry IV,1.1.45,WESTMORELAND
48,Henry IV,1.1.46,WESTMORELAND
49,Henry IV,1.1.47,KING HENRY IV
50,Henry IV,1.1.48,KING HENRY IV
51,Henry IV,1.1.49,WESTMORELAND
52,Henry IV,1.1.50,WESTMORELAND
53,Henry IV,1.1.51,WESTMORELAND
54,Henry IV,1.1.52,WESTMORELAND
55,Henry IV,1.1.53,WESTMORELAND
56,Henry IV,1.1.54,WESTMORELAND
57,Henry IV,1.1.55,WESTMORELAND
58,Henry IV,1.1.56,WESTMORELAND
59,Henry IV,1.1.57,WESTMORELAND
60,Henry IV,1.1.58,WESTMORELAND
61,Henry IV,1.1.59,WESTMORELAND
62,Henry IV,1.1.60,WESTMORELAND
63,Henry IV,1.1.61,WESTMORELAND
64,Henry IV,1.1.62,KING HENRY IV
65,Henry IV,1.1.63,KING HENRY IV
66,Henry IV,1.1.64,KING HENRY IV
67,Henry IV,1.1.65,KING HENRY IV
68,Henry IV,1.1.66,KING HENRY IV
69,Henry IV,1.1.67,KING HENRY IV
70,Henry IV,1.1.68,KING HENRY IV
71,Henry IV,1.1.69,KING HENRY IV
72,Henry IV,1.1.70,KING HENRY IV
73,Henry IV,1.1.71,KING HENRY IV
74,Henry IV,1.1.72,KING HENRY IV
75,Henry IV,1.1.73,KING HENRY IV
76,Henry IV,1.1.74,KING HENRY IV
77,Henry IV,1.1.75,KING HENRY IV
78,Henry IV,1.1.76,WESTMORELAND
79,Henry IV,1.1.77,WESTMORELAND
80,Henry IV,1.1.78,KING HENRY IV
81,Henry IV,1.1.79,KING HENRY IV
82,Henry IV,1.1.80,KING HENRY IV
83,Henry IV,1.1.81,KING HENRY IV
84,Henry IV,1.1.82,KING HENRY IV
85,Henry IV,1.1.83,KING HENRY IV
86,Henry IV,1.1.84,KING HENRY IV
87,Henry IV,1.1.85,KING HENRY IV
88,Henry IV,1.1.86,KING HENRY IV
89,Henry IV,1.1.87,KING HENRY IV
90,Henry IV,1.1.88,KING HENRY IV
91,Henry IV,1.1.89,KING HENRY IV
92,Henry IV,1.1.90,KING HENRY IV
93,Henry IV,1.1.91,KING HENRY IV
94,Henry IV,1.1.92,KING HENRY IV
95,Henry IV,1.1.93,KING HENRY IV
96,Henry IV,1.1.94,KING HENRY IV
97,Henry IV,1.1.95,KING HENRY IV
98,Henry IV,1.1.96,WESTMORELAND
99,Henry IV,1.1.97,WESTMORELAND
100,Henry IV,1.1.98,WESTMORELAND
101,Henry IV,1.1.99,WESTMORELAND
102,Henry IV,1.1.100,KING HENRY IV
103,Henry IV,1.1.101,KING HENRY IV
104,Henry IV,1.1.102,KING HENRY IV
105,Henry IV,1.1.103,KING HENRY IV
106,Henry IV,1.1.104,KING HENRY IV
107,Henry IV,1.1.105,KING HENRY IV
108,Henry IV,1.1.106,KING HENRY IV
109,Henry IV,1.1.107,KING HENRY IV
110,Henry IV,1.1.108,WESTMORELAND
114,Henry IV,1.2.1,FALSTAFF
115,Henry IV,1.2.2,PRINCE HENRY
116,Henry IV,1.2.3,PRINCE HENRY
117,Henry IV,1.2.4,PRINCE HENRY
118,Henry IV,1.2.5,PRINCE HENRY
119,Henry IV,1.2.6,PRINCE HENRY
120,Henry IV,1.2.7,PRINCE HENRY
121,Henry IV,1.2.8,PRINCE HENRY
122,Henry IV,1.2.9,PRINCE HENRY
123,Henry IV,1.2.10,PRINCE HENRY
124,Henry IV,1.2.11,PRINCE HENRY
125,Henry IV,1.2.12,PRINCE HENRY
126,Henry IV,1.2.13,FALSTAFF
127,Henry IV,1.2.14,FALSTAFF
128,Henry IV,1.2.15,FALSTAFF
129,Henry IV,1.2.16,FALSTAFF
130,Henry IV,1.2.17,FALSTAFF
131,Henry IV,1.2.18,FALSTAFF
132,Henry IV,1.2.19,PRINCE HENRY
133,Henry IV,1.2.20,FALSTAFF
134,Henry IV,1.2.21,FALSTAFF
135,Henry IV,1.2.22,PRINCE HENRY
136,Henry IV,1.2.23,FALSTAFF
137,Henry IV,1.2.24,FALSTAFF
138,Henry IV,1.2.25,FALSTAFF
139,Henry IV,1.2.26,FALSTAFF
140,Henry IV,1.2.27,FALSTAFF
141,Henry IV,1.2.28,FALSTAFF
142,Henry IV,1.2.29,FALSTAFF
143,Henry IV,1.2.30,PRINCE HENRY
144,Henry IV,1.2.31,PRINCE HENRY
145,Henry IV,1.2.32,PRINCE HENRY
146,Henry IV,1.2.33,PRINCE HENRY
147,Henry IV,1.2.34,PRINCE HENRY
148,Henry IV,1.2.35,PRINCE HENRY
149,Henry IV,1.2.36,PRINCE HENRY
150,Henry IV,1.2.37,PRINCE HENRY
151,Henry IV,1.2.38,PRINCE HENRY
152,Henry IV,1.2.39,FALSTAFF
153,Henry IV,1.2.40,FALSTAFF
154,Henry IV,1.2.41,PRINCE HENRY
155,Henry IV,1.2.42,PRINCE HENRY
156,Henry IV,1.2.43,FALSTAFF
157,Henry IV,1.2.44,FALSTAFF
158,Henry IV,1.2.45,FALSTAFF
159,Henry IV,1.2.46,PRINCE HENRY
160,Henry IV,1.2.47,FALSTAFF
161,Henry IV,1.2.48,FALSTAFF
162,Henry IV,1.2.49,PRINCE HENRY
163,Henry IV,1.2.50,FALSTAFF
164,Henry IV,1.2.51,PRINCE HENRY
165,Henry IV,1.2.52,PRINCE HENRY
166,Henry IV,1.2.53,FALSTAFF
167,Henry IV,1.2.54,FALSTAFF
168,Henry IV,1.2.55,FALSTAFF
169,Henry IV,1.2.56,FALSTAFF
170,Henry IV,1.2.57,FALSTAFF
171,Henry IV,1.2.58,FALSTAFF
172,Henry IV,1.2.59,PRINCE HENRY
173,Henry IV,1.2.60,FALSTAFF
174,Henry IV,1.2.61,PRINCE HENRY
175,Henry IV,1.2.62,PRINCE HENRY
176,Henry IV,1.2.63,FALSTAFF
177,Henry IV,1.2.64,FALSTAFF
178,Henry IV,1.2.65,FALSTAFF
179,Henry IV,1.2.66,PRINCE HENRY
180,Henry IV,1.2.67,FALSTAFF
181,Henry IV,1.2.68,FALSTAFF
182,Henry IV,1.2.69,FALSTAFF
183,Henry IV,1.2.70,PRINCE HENRY
184,Henry IV,1.2.71,FALSTAFF
185,Henry IV,1.2.72,PRINCE HENRY
186,Henry IV,1.2.73,PRINCE HENRY
187,Henry IV,1.2.74,FALSTAFF
188,Henry IV,1.2.75,FALSTAFF
189,Henry IV,1.2.76,FALSTAFF
190,Henry IV,1.2.77,FALSTAFF
191,Henry IV,1.2.78,FALSTAFF
192,Henry IV,1.2.79,FALSTAFF
193,Henry IV,1.2.80,FALSTAFF
194,Henry IV,1.2.81,FALSTAFF
195,Henry IV,1.2.82,FALSTAFF
196,Henry IV,1.2.83,PRINCE HENRY
197,Henry IV,1.2.84,PRINCE HENRY
198,Henry IV,1.2.85,FALSTAFF
199,Henry IV,1.2.86,FALSTAFF
200,Henry IV,1.2.87,FALSTAFF
201,Henry IV,1.2.88,FALSTAFF
202,Henry IV,1.2.89,FALSTAFF
203,Henry IV,1.2.90,FALSTAFF
204,Henry IV,1.2.91,FALSTAFF
205,Henry IV,1.2.92,FALSTAFF
206,Henry IV,1.2.93,FALSTAFF
207,Henry IV,1.2.94,PRINCE HENRY
208,Henry IV,1.2.95,FALSTAFF
209,Henry IV,1.2.96,FALSTAFF
210,Henry IV,1.2.97,PRINCE HENRY
211,Henry IV,1.2.98,PRINCE HENRY
212,Henry IV,1.2.99,FALSTAFF
213,Henry IV,1.2.100,FALSTAFF
215,Henry IV,1.2.101,FALSTAFF
216,Henry IV,1.2.102,FALSTAFF
217,Henry IV,1.2.103,FALSTAFF
218,Henry IV,1.2.104,FALSTAFF
219,Henry IV,1.2.105,FALSTAFF
220,Henry IV,1.2.106,PRINCE HENRY
221,Henry IV,1.2.107,POINS
222,Henry IV,1.2.108,POINS
223,Henry IV,1.2.109,POINS
224,Henry IV,1.2.110,POINS
225,Henry IV,1.2.111,POINS
226,Henry IV,1.2.112,PRINCE HENRY
227,Henry IV,1.2.113,PRINCE HENRY
228,Henry IV,1.2.114,PRINCE HENRY
229,Henry IV,1.2.115,POINS
230,Henry IV,1.2.116,PRINCE HENRY
231,Henry IV,1.2.117,POINS
232,Henry IV,1.2.118,POINS
233,Henry IV,1.2.119,POINS
234,Henry IV,1.2.120,POINS
235,Henry IV,1.2.121,POINS
236,Henry IV,1.2.122,POINS
237,Henry IV,1.2.123,POINS
238,Henry IV,1.2.124,POINS
239,Henry IV,1.2.125,POINS
240,Henry IV,1.2.126,POINS
241,Henry IV,1.2.127,FALSTAFF
242,Henry IV,1.2.128,FALSTAFF
243,Henry IV,1.2.129,POINS
244,Henry IV,1.2.130,FALSTAFF
245,Henry IV,1.2.131,PRINCE HENRY
246,Henry IV,1.2.132,FALSTAFF
247,Henry IV,1.2.133,FALSTAFF
248,Henry IV,1.2.134,FALSTAFF
249,Henry IV,1.2.135,PRINCE HENRY
250,Henry IV,1.2.136,FALSTAFF
251,Henry IV,1.2.137,PRINCE HENRY
252,Henry IV,1.2.138,FALSTAFF
253,Henry IV,1.2.139,PRINCE HENRY
254,Henry IV,1.2.140,POINS
255,Henry IV,1.2.141,POINS
256,Henry IV,1.2.142,POINS
257,Henry IV,1.2.143,FALSTAFF
258,Henry IV,1.2.144,FALSTAFF
259,Henry IV,1.2.145,FALSTAFF
260,Henry IV,1.2.146,FALSTAFF
261,Henry IV,1.2.147,FALSTAFF
262,Henry IV,1.2.148,FALSTAFF
263,Henry IV,1.2.149,PRINCE HENRY
265,Henry IV,1.2.150,POINS
266,Henry IV,1.2.151,POINS
267,Henry IV,1.2.152,POINS
268,Henry IV,1.2.153,POINS
269,Henry IV,1.2.154,POINS
270,Henry IV,1.2.155,POINS
271,Henry IV,1.2.156,POINS
272,Henry IV,1.2.157,PRINCE HENRY
273,Henry IV,1.2.158,POINS
274,Henry IV,1.2.159,POINS
275,Henry IV,1.2.160,POINS
276,Henry IV,1.2.161,POINS
277,Henry IV,1.2.162,POINS
278,Henry IV,1.2.163,PRINCE HENRY
279,Henry IV,1.2.164,PRINCE HENRY
280,Henry IV,1.2.165,PRINCE HENRY
281,Henry IV,1.2.166,POINS
282,Henry IV,1.2.167,POINS
283,Henry IV,1.2.168,POINS
284,Henry IV,1.2.169,POINS
285,Henry IV,1.2.170,PRINCE HENRY
286,Henry IV,1.2.171,POINS
287,Henry IV,1.2.172,POINS
288,Henry IV,1.2.173,POINS
289,Henry IV,1.2.174,POINS
290,Henry IV,1.2.175,POINS
291,Henry IV,1.2.176,POINS
292,Henry IV,1.2.177,POINS
293,Henry IV,1.2.178,POINS
294,Henry IV,1.2.179,POINS
295,Henry IV,1.2.180,PRINCE HENRY
296,Henry IV,1.2.181,PRINCE HENRY
297,Henry IV,1.2.182,PRINCE HENRY
298,Henry IV,1.2.183,POINS
300,Henry IV,1.2.184,PRINCE HENRY
301,Henry IV,1.2.185,PRINCE HENRY
302,Henry IV,1.2.186,PRINCE HENRY
303,Henry IV,1.2.187,PRINCE HENRY
304,Henry IV,1.2.188,PRINCE HENRY
305,Henry IV,1.2.189,PRINCE HENRY
306,Henry IV,1.2.190,PRINCE HENRY
307,Henry IV,1.2.191,PRINCE HENRY
308,Henry IV,1.2.192,PRINCE HENRY
309,Henry IV,1.2.193,PRINCE HENRY
310,Henry IV,1.2.194,PRINCE HENRY
311,Henry IV,1.2.195,PRINCE HENRY
312,Henry IV,1.2.196,PRINCE HENRY
313,Henry IV,1.2.197,PRINCE HENRY
314,Henry IV,1.2.198,PRINCE HENRY
315,Henry IV,1.2.199,PRINCE HENRY
316,Henry IV,1.2.200,PRINCE HENRY
317,Henry IV,1.2.201,PRINCE HENRY
318,Henry IV,1.2.202,PRINCE HENRY
319,Henry IV,1.2.203,PRINCE HENRY
320,Henry IV,1.2.204,PRINCE HENRY
321,Henry IV,1.2.205,PRINCE HENRY
322,Henry IV,1.2.206,PRINCE HENRY
326,Henry IV,1.3.1,KING HENRY IV
327,Henry IV,1.3.2,KING HENRY IV
328,Henry IV,1.3.3,KING HENRY IV
329,Henry IV,1.3.4,KING HENRY IV
330,Henry IV,1.3.5,KING HENRY IV
331,Henry IV,1.3.6,KING HENRY IV
332,Henry IV,1.3.7,KING HENRY IV
333,Henry IV,1.3.8,KING HENRY IV
334,Henry IV,1.3.9,KING HENRY IV
335,Henry IV,1.3.10,EARL OF WORCESTER
336,Henry IV,1.3.11,EARL OF WORCESTER
337,Henry IV,1.3.12,EARL OF WORCESTER
338,Henry IV,1.3.13,EARL OF WORCESTER
339,Henry IV,1.3.14,NORTHUMBERLAND
340,Henry IV,1.3.15,KING HENRY IV
341,Henry IV,1.3.16,KING HENRY IV
342,Henry IV,1.3.17,KING HENRY IV
343,Henry IV,1.3.18,KING HENRY IV
344,Henry IV,1.3.19,KING HENRY IV
345,Henry IV,1.3.20,KING HENRY IV
346,Henry IV,1.3.21,KING HENRY IV
348,Henry IV,1.3.22,KING HENRY IV
350,Henry IV,1.3.23,NORTHUMBERLAND
351,Henry IV,1.3.24,NORTHUMBERLAND
352,Henry IV,1.3.25,NORTHUMBERLAND
353,Henry IV,1.3.26,NORTHUMBERLAND
354,Henry IV,1.3.27,NORTHUMBERLAND
355,Henry IV,1.3.28,NORTHUMBERLAND
356,Henry IV,1.3.29,NORTHUMBERLAND
357,Henry IV,1.3.30,HOTSPUR
358,Henry IV,1.3.31,HOTSPUR
359,Henry IV,1.3.32,HOTSPUR
360,Henry IV,1.3.33,HOTSPUR
361,Henry IV,1.3.34,HOTSPUR
362,Henry IV,1.3.35,HOTSPUR
363,Henry IV,1.3.36,HOTSPUR
364,Henry IV,1.3.37,HOTSPUR
365,Henry IV,1.3.38,HOTSPUR
366,Henry IV,1.3.39,HOTSPUR
367,Henry IV,1.3.40,HOTSPUR
368,Henry IV,1.3.41,HOTSPUR
369,Henry IV,1.3.42,HOTSPUR
370,Henry IV,1.3.43,HOTSPUR
371,Henry IV,1.3.44,HOTSPUR
372,Henry IV,1.3.45,HOTSPUR
373,Henry IV,1.3.46,HOTSPUR
374,Henry IV,1.3.47,HOTSPUR
375,Henry IV,1.3.48,HOTSPUR
376,Henry IV,1.3.49,HOTSPUR
377,Henry IV,1.3.50,HOTSPUR
378,Henry IV,1.3.51,HOTSPUR
379,Henry IV,1.3.52,HOTSPUR
380,Henry IV,1.3.53,HOTSPUR
381,Henry IV,1.3.54,HOTSPUR
382,Henry IV,1.3.55,HOTSPUR
383,Henry IV,1.3.56,HOTSPUR
384,Henry IV,1.3.57,HOTSPUR
385,Henry IV,1.3.58,HOTSPUR
386,Henry IV,1.3.59,HOTSPUR
387,Henry IV,1.3.60,HOTSPUR
388,Henry IV,1.3.61,HOTSPUR
389,Henry IV,1.3.62,HOTSPUR
390,Henry IV,1.3.63,HOTSPUR
391,Henry IV,1.3.64,HOTSPUR
392,Henry IV,1.3.65,HOTSPUR
393,Henry IV,1.3.66,HOTSPUR
394,Henry IV,1.3.67,HOTSPUR
395,Henry IV,1.3.68,HOTSPUR
396,Henry IV,1.3.69,HOTSPUR
397,Henry IV,1.3.70,HOTSPUR
398,Henry IV,1.3.71,SIR WALTER BLUNT
399,Henry IV,1.3.72,SIR WALTER BLUNT
400,Henry IV,1.3.73,SIR WALTER BLUNT
401,Henry IV,1.3.74,SIR WALTER BLUNT
402,Henry IV,1.3.75,SIR WALTER BLUNT
403,Henry IV,1.3.76,SIR WALTER BLUNT
404,Henry IV,1.3.77,SIR WALTER BLUNT
405,Henry IV,1.3.78,KING HENRY IV
406,Henry IV,1.3.79,KING HENRY IV
407,Henry IV,1.3.80,KING HENRY IV
408,Henry IV,1.3.81,KING HENRY IV
409,Henry IV,1.3.82,KING HENRY IV
410,Henry IV,1.3.83,KING HENRY IV
411,Henry IV,1.3.84,KING HENRY IV
412,Henry IV,1.3.85,KING HENRY IV
413,Henry IV,1.3.86,KING HENRY IV
414,Henry IV,1.3.87,KING HENRY IV
415,Henry IV,1.3.88,KING HENRY IV
416,Henry IV,1.3.89,KING HENRY IV
417,Henry IV,1.3.90,KING HENRY IV
418,Henry IV,1.3.91,KING HENRY IV
419,Henry IV,1.3.92,KING HENRY IV
420,Henry IV,1.3.93,KING HENRY IV
421,Henry IV,1.3.94,HOTSPUR
422,Henry IV,1.3.95,HOTSPUR
423,Henry IV,1.3.96,HOTSPUR
424,Henry IV,1.3.97,HOTSPUR
425,Henry IV,1.3.98,HOTSPUR
426,Henry IV,1.3.99,HOTSPUR
427,Henry IV,1.3.100,HOTSPUR
428,Henry IV,1.3.101,HOTSPUR
429,Henry IV,1.3.102,HOTSPUR
430,Henry IV,1.3.103,HOTSPUR
431,Henry IV,1.3.104,HOTSPUR
432,Henry IV,1.3.105,HOTSPUR
433,Henry IV,1.3.106,HOTSPUR
434,Henry IV,1.3.107,HOTSPUR
435,Henry IV,1.3.108,HOTSPUR
436,Henry IV,1.3.109,HOTSPUR
437,Henry IV,1.3.110,HOTSPUR
438,Henry IV,1.3.111,HOTSPUR
439,Henry IV,1.3.112,HOTSPUR
440,Henry IV,1.3.113,HOTSPUR
441,Henry IV,1.3.114,HOTSPUR
442,Henry IV,1.3.115,KING HENRY IV
443,Henry IV,1.3.116,KING HENRY IV
444,Henry IV,1.3.117,KING HENRY IV
445,Henry IV,1.3.118,KING HENRY IV
446,Henry IV,1.3.119,KING HENRY IV
447,Henry IV,1.3.120,KING HENRY IV
448,Henry IV,1.3.121,KING HENRY IV
449,Henry IV,1.3.122,KING HENRY IV
450,Henry IV,1.3.123,KING HENRY IV
451,Henry IV,1.3.124,KING HENRY IV
452,Henry IV,1.3.125,KING HENRY IV
453,Henry IV,1.3.126,KING HENRY IV
455,Henry IV,1.3.127,HOTSPUR
456,Henry IV,1.3.128,HOTSPUR
457,Henry IV,1.3.129,HOTSPUR
458,Henry IV,1.3.130,HOTSPUR
459,Henry IV,1.3.131,NORTHUMBERLAND
460,Henry IV,1.3.132,NORTHUMBERLAND
462,Henry IV,1.3.133,HOTSPUR
463,Henry IV,1.3.134,HOTSPUR
464,Henry IV,1.3.135,HOTSPUR
465,Henry IV,1.3.136,HOTSPUR
466,Henry IV,1.3.137,HOTSPUR
467,Henry IV,1.3.138,HOTSPUR
468,Henry IV,1.3.139,HOTSPUR
469,Henry IV,1.3.140,HOTSPUR
470,Henry IV,1.3.141,NORTHUMBERLAND
471,Henry IV,1.3.142,EARL OF WORCESTER
472,Henry IV,1.3.143,HOTSPUR
473,Henry IV,1.3.144,HOTSPUR
474,Henry IV,1.3.145,HOTSPUR
475,Henry IV,1.3.146,HOTSPUR
476,Henry IV,1.3.147,HOTSPUR
477,Henry IV,1.3.148,EARL OF WORCESTER
478,Henry IV,1.3.149,EARL OF WORCESTER
479,Henry IV,1.3.150,NORTHUMBERLAND
480,Henry IV,1.3.151,NORTHUMBERLAND
481,Henry IV,1.3.152,NORTHUMBERLAND
482,Henry IV,1.3.153,NORTHUMBERLAND
483,Henry IV,1.3.154,NORTHUMBERLAND
484,Henry IV,1.3.155,NORTHUMBERLAND
485,Henry IV,1.3.156,EARL OF WORCESTER
486,Henry IV,1.3.157,EARL OF WORCESTER
487,Henry IV,1.3.158,HOTSPUR
488,Henry IV,1.3.159,HOTSPUR
489,Henry IV,1.3.160,HOTSPUR
490,Henry IV,1.3.161,NORTHUMBERLAND
491,Henry IV,1.3.162,HOTSPUR
492,Henry IV,1.3.163,HOTSPUR
493,Henry IV,1.3.164,HOTSPUR
494,Henry IV,1.3.165,HOTSPUR
495,Henry IV,1.3.166,HOTSPUR
496,Henry IV,1.3.167,HOTSPUR
497,Henry IV,1.3.168,HOTSPUR
498,Henry IV,1.3.169,HOTSPUR
499,Henry IV,1.3.170,HOTSPUR
500,Henry IV,1.3.171,HOTSPUR
501,Henry IV,1.3.172,HOTSPUR
502,Henry IV,1.3.173,HOTSPUR
503,Henry IV,1.3.174,HOTSPUR
504,Henry IV,1.3.175,HOTSPUR
505,Henry IV,1.3.176,HOTSPUR
506,Henry IV,1.3.177,HOTSPUR
507,Henry IV,1.3.178,HOTSPUR
508,Henry IV,1.3.179,HOTSPUR
509,Henry IV,1.3.180,HOTSPUR
510,Henry IV,1.3.181,HOTSPUR
511,Henry IV,1.3.182,HOTSPUR
512,Henry IV,1.3.183,HOTSPUR
513,Henry IV,1.3.184,HOTSPUR
514,Henry IV,1.3.185,HOTSPUR
515,Henry IV,1.3.186,HOTSPUR
516,Henry IV,1.3.187,HOTSPUR
517,Henry IV,1.3.188,HOTSPUR
518,Henry IV,1.3.189,HOTSPUR
519,Henry IV,1.3.190,HOTSPUR
520,Henry IV,1.3.191,HOTSPUR
521,Henry IV,1.3.192,EARL OF WORCESTER
522,Henry IV,1.3.193,EARL OF WORCESTER
523,Henry IV,1.3.194,EARL OF WORCESTER
524,Henry IV,1.3.195,EARL OF WORCESTER
525,Henry IV,1.3.196,EARL OF WORCESTER
526,Henry IV,1.3.197,EARL OF WORCESTER
527,Henry IV,1.3.198,EARL OF WORCESTER
528,Henry IV,1.3.199,HOTSPUR
529,Henry IV,1.3.200,HOTSPUR
530,Henry IV,1.3.201,HOTSPUR
531,Henry IV,1.3.202,HOTSPUR
532,Henry IV,1.3.203,HOTSPUR
533,Henry IV,1.3.204,NORTHUMBERLAND
534,Henry IV,1.3.205,NORTHUMBERLAND
535,Henry IV,1.3.206,HOTSPUR
536,Henry IV,1.3.207,HOTSPUR
537,Henry IV,1.3.208,HOTSPUR
538,Henry IV,1.3.209,HOTSPUR
539,Henry IV,1.3.210,HOTSPUR
540,Henry IV,1.3.211,HOTSPUR
541,Henry IV,1.3.212,HOTSPUR
542,Henry IV,1.3.213,HOTSPUR
543,Henry IV,1.3.214,EARL OF WORCESTER
544,Henry IV,1.3.215,EARL OF WORCESTER
545,Henry IV,1.3.216,EARL OF WORCESTER
546,Henry IV,1.3.217,HOTSPUR
547,Henry IV,1.3.218,EARL OF WORCESTER
548,Henry IV,1.3.219,EARL OF WORCESTER
549,Henry IV,1.3.220,HOTSPUR
550,Henry IV,1.3.221,HOTSPUR
551,Henry IV,1.3.222,HOTSPUR
552,Henry IV,1.3.223,HOTSPUR
553,Henry IV,1.3.224,EARL OF WORCESTER
554,Henry IV,1.3.225,EARL OF WORCESTER
555,Henry IV,1.3.226,EARL OF WORCESTER
556,Henry IV,1.3.227,HOTSPUR
557,Henry IV,1.3.228,HOTSPUR
558,Henry IV,1.3.229,HOTSPUR
559,Henry IV,1.3.230,HOTSPUR
560,Henry IV,1.3.231,HOTSPUR
561,Henry IV,1.3.232,HOTSPUR
562,Henry IV,1.3.233,HOTSPUR
563,Henry IV,1.3.234,HOTSPUR
564,Henry IV,1.3.235,HOTSPUR
565,Henry IV,1.3.236,EARL OF WORCESTER
566,Henry IV,1.3.237,HOTSPUR
567,Henry IV,1.3.238,HOTSPUR
568,Henry IV,1.3.239,HOTSPUR
569,Henry IV,1.3.240,HOTSPUR
570,Henry IV,1.3.241,HOTSPUR
571,Henry IV,1.3.242,HOTSPUR
572,Henry IV,1.3.243,EARL OF WORCESTER
573,Henry IV,1.3.244,EARL OF WORCESTER
574,Henry IV,1.3.245,NORTHUMBERLAND
575,Henry IV,1.3.246,NORTHUMBERLAND
576,Henry IV,1.3.247,NORTHUMBERLAND
577,Henry IV,1.3.248,HOTSPUR
578,Henry IV,1.3.249,HOTSPUR
579,Henry IV,1.3.250,HOTSPUR
580,Henry IV,1.3.251,HOTSPUR
581,Henry IV,1.3.252,HOTSPUR
582,Henry IV,1.3.253,HOTSPUR
583,Henry IV,1.3.254,HOTSPUR
584,Henry IV,1.3.255,HOTSPUR
585,Henry IV,1.3.256,HOTSPUR
586,Henry IV,1.3.257,HOTSPUR
587,Henry IV,1.3.258,NORTHUMBERLAND
588,Henry IV,1.3.259,HOTSPUR
589,Henry IV,1.3.260,HOTSPUR
590,Henry IV,1.3.261,HOTSPUR
591,Henry IV,1.3.262,HOTSPUR
592,Henry IV,1.3.263,HOTSPUR
593,Henry IV,1.3.264,HOTSPUR
594,Henry IV,1.3.265,HOTSPUR
595,Henry IV,1.3.266,EARL OF WORCESTER
596,Henry IV,1.3.267,EARL OF WORCESTER
597,Henry IV,1.3.268,HOTSPUR
598,Henry IV,1.3.269,EARL OF WORCESTER
599,Henry IV,1.3.270,EARL OF WORCESTER
600,Henry IV,1.3.271,EARL OF WORCESTER
601,Henry IV,1.3.272,EARL OF WORCESTER
602,Henry IV,1.3.273,EARL OF WORCESTER
603,Henry IV,1.3.274,EARL OF WORCESTER
605,Henry IV,1.3.275,EARL OF WORCESTER
606,Henry IV,1.3.276,EARL OF WORCESTER
607,Henry IV,1.3.277,EARL OF WORCESTER
608,Henry IV,1.3.278,EARL OF WORCESTER
609,Henry IV,1.3.279,HOTSPUR
610,Henry IV,1.3.280,EARL OF WORCESTER
611,Henry IV,1.3.281,EARL OF WORCESTER
612,Henry IV,1.3.282,EARL OF WORCESTER
613,Henry IV,1.3.283,EARL OF WORCESTER
614,Henry IV,1.3.284,EARL OF WORCESTER
615,Henry IV,1.3.285,EARL OF WORCESTER
616,Henry IV,1.3.286,EARL OF WORCESTER
617,Henry IV,1.3.287,HOTSPUR
618,Henry IV,1.3.288,NORTHUMBERLAND
619,Henry IV,1.3.289,HOTSPUR
620,Henry IV,1.3.290,HOTSPUR
621,Henry IV,1.3.291,HOTSPUR
622,Henry IV,1.3.292,EARL OF WORCESTER
623,Henry IV,1.3.293,HOTSPUR
624,Henry IV,1.3.294,EARL OF WORCESTER
625,Henry IV,1.3.295,EARL OF WORCESTER
626,Henry IV,1.3.296,EARL OF WORCESTER
627,Henry IV,1.3.297,EARL OF WORCESTER
628,Henry IV,1.3.298,EARL OF WORCESTER
629,Henry IV,1.3.299,EARL OF WORCESTER
